Date,Name,Year,Letterboxd URI,Rating
2023-05-04,Ghosted,2023,https://boxd.it/wL1e,2.5
2023-05-04,The Gray Man,2022,https://boxd.it/rb7q,2.5
2023-05-04,Interstellar,2014,https://boxd.it/4VZ8,5
2023-05-04,The Batman,2022,https://boxd.it/eDGs,4.5
2024-10-05,3 Idiots,2009,https://boxd.it/1Dsa,5
2024-10-05,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2024-10-05,Pulp Fiction,1994,https://boxd.it/29Pq,4
2024-10-05,Dead Poets Society,1989,https://boxd.it/2aSg,5
2024-10-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2024-10-05,La La Land,2016,https://boxd.it/a5fa,3.5
2024-10-05,Straight Outta Compton,2015,https://boxd.it/8rMc,3
2024-10-05,Sirf Ek Bandaa Kaafi Hai,2023,https://boxd.it/GvOE,3
2024-10-05,Barbie,2023,https://boxd.it/bCLK,3.5
2024-10-05,Oppenheimer,2023,https://boxd.it/wUow,5
2024-10-05,Masaan,2015,https://boxd.it/b6x2,4
2024-10-05,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,2.5
2024-10-05,The Irishman,2019,https://boxd.it/dYOq,4
2024-10-05,The Wind Rises,2013,https://boxd.it/4JQS,3.5
2024-10-05,Suzume,2022,https://boxd.it/yv7Y,3
2024-10-05,The Social Network,2010,https://boxd.it/17ue,4
2024-10-05,Fight Club,1999,https://boxd.it/2a9q,4.5
2024-10-05,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,3
2024-10-05,Forrest Gump,1994,https://boxd.it/728,4
2024-10-05,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2024-10-05,Gran Turismo,2023,https://boxd.it/B2lS,3
2024-10-05,The Godfather,1972,https://boxd.it/2aNK,5
2024-10-05,Air,2023,https://boxd.it/Arlc,4
2024-10-05,Her,2013,https://boxd.it/4O24,4.5
2024-10-05,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2024-10-05,Superbad,2007,https://boxd.it/20hO,4
2024-10-05,300,2006,https://boxd.it/28XI,3
2024-10-05,Lost Ladies,2023,https://boxd.it/I0mS,4
2024-10-05,Dallas Buyers Club,2013,https://boxd.it/4O8G,4.5
2024-10-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4
2024-10-05,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2024-10-05,The Lighthouse,2019,https://boxd.it/icFU,3.5
2024-10-05,Argo,2012,https://boxd.it/2czU,3.5
2024-10-05,J. Edgar,2011,https://boxd.it/38B0,2.5
2024-10-05,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-10-05,Aavesham,2024,https://boxd.it/F2fe,3.5
2024-10-05,8 Mile,2002,https://boxd.it/2bew,3
2024-10-05,Uncharted,2022,https://boxd.it/b5Dy,3
2024-10-05,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2024-10-05,American Psycho,2000,https://boxd.it/28Vs,3.5
2024-10-05,Logan,2017,https://boxd.it/7Piy,4.5
2024-10-05,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4.5
2024-10-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2024-10-05,Napoleon,2023,https://boxd.it/shJM,2
2024-10-05,Sector 36,2024,https://boxd.it/Lmti,3.5
2024-10-06,Vivah,2006,https://boxd.it/1g1A,2
2024-10-07,Swades,2004,https://boxd.it/1Ly6,4.5
2024-10-12,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2024-10-15,Moneyball,2011,https://boxd.it/glS,4
2024-10-15,Stree 2,2024,https://boxd.it/G5Cs,3
2024-10-15,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2024-10-15,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,4
2024-10-15,CTRL,2024,https://boxd.it/Hmzi,3.5
2024-10-15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
