Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-07-11,Batman v Superman: Dawn of Justice,2016,https://boxd.it/ahJf6r,2,,"is just another really bad movie ngl, when its that three way fight and that whole nonsense about lex and everything it just puts me off, in general a big mess",,2025-07-10
2025-07-12,Superman,2025,https://boxd.it/aimZad,4,,"<i>Look Up!</i>

While everyone was getting their own live action adaptations, amidst all the Marvel and DC debate was lost one of the most important characters in comic book history. The one who was too difficult to be portrayed in the traditional sense of cinema and one who hasn't had a good adaptation in a decade or two.
Superman.
Ever since his arrival on Action Comics #1, Superman has been a symbol of hope, love and humanity (also a bit of pure Americana too :P). But letting the Reeve Superman aside, none could actually match up to his humongous name. But I think James Gunn has completely nailed it.
Although in the true sense of everything, he understood what superman is and what he stood for. He is in all true sense a real visionary who could see how the character should be portrayed.
Some parts of the movie may have been a bit questionable and the story may have moved a little fast but it is overshadowed by an amazing portrayal of the Man of Steel by David Corenswet (all the characters have the perfect casting in my opinion). Gunn with all his experience from GOTG has made this movie as fun as the movies in that trilogy.
What Snyder failed to accomplish was that, even if he tried the best he focused his interest more on the ""God"" side of superman, not the ""Human"" that resides within Superman. He isn't some god who is answerable to no one, he is human, he can make mistakes, hence he is a hero and is loved by the entire world.","superman, superhero, comicmovie, action, adventure, drama",2025-07-11
2025-07-13,Elephant,2003,https://boxd.it/ajH57D,3,,"the only way to make a strongly anti-violence movie is to suck out all the glamour hollywood and other forms of media associate with violence, making it look sick and ghastly even for the strongest of minds.
gus van sant has done exactly that.
although it has flaws, but because of how it is loosely based on a real life story and how the story of the characters move in parallel also gives us more immersion in it.",,2025-07-13
2025-07-13,The Suicide Squad,2021,https://boxd.it/ajL0rL,4,,sebastian vs remy would be the rodent rivalry of the century.,,2025-07-13
2025-07-17,Superman,2025,https://boxd.it/amfl5p,4,Yes,"when the cbm so good you gotta give it a second go ahah

nonetheless, on my second go, i do find some faults in the movie like the entire pacing in the second half is a bit too fast.
yet i get that this is a complete family movie that people can just put on and people of all ages will infact enjoy it.
the theatrics and the cinematography is something that will be a factor in everyone loving this movie going on forward, even if the aesthetics have everyone divided.
but i DO think this is WAY better than any snyderverse film

i should have bumped the rating down to 3.5 because how they made superman not even win one fight on his own, how the entire interview with lois was supposed to be like some holy grail but it didn't turn out to be that and how after superman's speech luther is just reduced to a laughingstock which reduces the intensity provided, but i will not because those are creative decisions i'm ready to accept and i am willing to change",,2025-07-16
2025-07-17,Jurassic Park,1993,https://boxd.it/amhdCp,4.5,,"despite my utter dismay that a tyrannosaurus never roars, this movie still is a BANGER",,2025-07-16
2025-07-20,Superman,2025,https://boxd.it/aoXlWJ,4,Yes,"a hollywood rendition of the Indian cult classic, Krishh 3",,2025-07-20
2025-07-25,Fantastic Four,2005,https://boxd.it/asywsB,3,,"fun lil movie hehe, i likey",,2025-07-24
2025-07-26,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/atksld,2.5,,"solid visual effects and i do love this movie lol, ever since i saw it as a kid",,2025-07-25
2025-07-26,Fantastic Four,2015,https://boxd.it/atnPv7,1,,"i zoned out for like a solid 15 20 mins then i came back to have zero clues, then even if i rewatched the parts i missed, i STILL have no clue
why did they even try",,2025-07-25
2025-07-27,The Fantastic 4: First Steps,2025,https://boxd.it/au2yov,4,,"arguably one of the most visually pleasing CBMs i have watched till date, looks so AWESOME, even if some things were dumb i just loved it, and the fact that they ACTUALLY gave galactus some accurate representation (not jus some random ahh cloud) loved it.
they set up franklin richards, let's see what happens for him next",,2025-07-26
2025-08-03,Sitaare Zameen Par,2025,https://boxd.it/aAE4xx,3,,"it is a genuinely fun movie, like it does feel as if some thing could have been done better like addressing how the protagonist is scared of having a baby, but it still is totally fine and more people should watch it.
its not very preachy and i love that about it",,2025-08-03
2025-08-04,Sinners,2025,https://boxd.it/aAS0YH,5,Yes,"atleast the vamps are well mannered
",,2025-08-03
2025-08-06,Metro... In Dino,2025,https://boxd.it/aCv0uz,3,,"i do not like musicals at all, i never have, its just not my thing
but this one is something i could actually tolerate maybe, i did not feel any resonance with any of the relationship between characters which is a huge downside of this movie, and each time it gets serious pritam is just there with his band ;-;",,2025-08-05
2025-08-16,Jurassic World Rebirth,2025,https://boxd.it/aKt8bj,2,,nostalgia bait to get views and a shit ton of money!!!,,2025-08-16
2025-08-17,Tehran,2025,https://boxd.it/aLmuMh,3,,"this movie thrives in its great direction, amazing chase scenes and investigations.
but it misses out on the storytelling aspect as you would feel that the things just keep on happening and when the supporting characters start dying? you don't really feel anything for them rather the first girl that died had me feeling more things than anyone else
",,2025-08-17
2025-08-24,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/aPLZJT,3.5,,"this movie is just awesome, i am not gonna lie",,2025-08-23
2025-09-01,F1,2025,https://boxd.it/aVWtd3,4,Yes,"extremely fun camerawork ngl, they got a star just for playing whole lotta love",,2025-08-27
2025-10-21,The Silence of the Lambs,1991,https://boxd.it/bqWOgr,4.5,,"hannibal lecter is the reason i will avoid going to therapy, plus he's freaky asf",,2025-10-20
2025-10-21,A Clockwork Orange,1971,https://boxd.it/br26Pp,4,,"kubrick might be a genius alright, but this movie solidifies one thing, that british people are something to be afraid of",,2025-10-20
2025-10-26,Memento,2000,https://boxd.it/buc9iZ,4,,"ok so like, i've never done weed but i think this is the closest i've ever gotten to it",,2025-10-25
2025-10-26,Fallen Angels,1995,https://boxd.it/buGH77,4.5,,"this movie feels like a fever dream, but yeah the fact that i watched almost all of it at 2am in the night may be contributing to it",,2025-10-26
2025-10-30,In the Mood for Love,2000,https://boxd.it/bx0oup,5,,"this just makes me feel extremely lonely, its ironic that with a title like this this movie captures loneliness so well, and is iconic while being at it. 
you can feel that this movie is full of soul and passion i love that, truly.",,2025-10-29
2025-11-03,Go Goa Gone,2013,https://boxd.it/bzYOZL,4,Yes,this is an absolutely awesome movie while having pizza with friends i rate the experience this time,,2025-11-02
2025-11-06,Beautiful Boy,2018,https://boxd.it/bC04Kd,4.5,,"this movie gives you a shit ton of hope, and you feel skeptical about it. it slowly eases you in to that hope and the *SNAP* takes it all away in an instant. 
it desperately wants you to know that you are not alone, and you are warned against the power of addiction time and time again. 
it does not explore how the person goes through it, much rather it explores how the people around the person go through the horror of watching their love one be addicted to substances, living life on the edge and never knowing when they'll see their loved one alive again.",,2025-11-05
2025-11-07,The Perfect Neighbor,2025,https://boxd.it/bCx419,3.5,,"this is absolutely devastating.
you know that something is gonna happen, heck, it's truecrime you KNOW what's gonna happen but still it's so devastating to see.
and the bodycam footage is so genius, it perfectly portrays the entire story without even a single more word to be spoken.
harrowing, yet, realistic storytelling.",,2025-11-07
2025-11-09,Udaan,2010,https://boxd.it/bEvTkb,4.5,,"can't help but love this, i will be coming back to this again and again :)",,2025-11-09
2025-11-10,The Iron Giant,1999,https://boxd.it/bECZCf,5,,"""You Stay, I go, No following""

one of the most heartbreaking things every heard in the history of all the movies i have every watched, this is just awesome.",,2025-11-09
2025-11-12,12 Angry Men,1957,https://boxd.it/bGdKyv,5,,"i have reasonable doubt that if someone watches this movie they would not find it intriguing.
it is just so immersive, and the fact that it doesn't really change locations is the cherry on top. 
12 people, 12 different perspectives and all felt so real.",,2025-11-11
2025-11-12,Weapons,2025,https://boxd.it/bGJHHX,3.5,,"help! my child is a Raytheon(Texas Instruments) MIM-23 HAWK (""Homing All the Way Killer"") medium-range surface-to-air missile, created by a bald old lady who hates hair.",,2025-11-12
2025-11-13,Monsoon Wedding,2001,https://boxd.it/bGRKl7,4,,"cmon, this has to be one of the best depictions you can have of an indian traditional wedding and the family dynamics too",,2025-11-12
2025-11-23,Constantine,2005,https://boxd.it/bNIJ95,3.5,Yes,"in the world of shitty 2000s superhero adaptations, be my constantine",,2025-11-22
