Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-10-31,Bottoms,2023,https://boxd.it/7GrMD9,4,,"primevideo, comedy, satire",2024-10-30
2024-10-31,Gifted,2017,https://boxd.it/7GukOp,4.5,,"netflix, chrisevans, drama, sad",2024-10-30
2024-11-01,Anyone But You,2023,https://boxd.it/7GYPWJ,2.5,,"netflix, drama, comedy, romance",2024-10-31
2024-11-01,The Hangover,2009,https://boxd.it/7H1ual,3.5,,,2024-10-31
2024-11-03,Transformers: Rise of the Beasts,2023,https://boxd.it/7I3eeT,2.5,,"netflix, transformers, action, adventure",2024-11-02
2024-11-04,Monkey Man,2024,https://boxd.it/7IKxgZ,4,,"primevideo, action, revenge, adventure, bloody, dark",2024-11-03
2024-11-09,Go Goa Gone,2013,https://boxd.it/7L4U0j,3,,"comedy, zombie",2024-11-09
2024-11-09,Dev.D,2009,https://boxd.it/7Lloub,3.5,,,2024-11-09
2024-11-15,Look Back,2024,https://boxd.it/7O7PM1,4.5,,,2024-11-14
2024-11-15,An Action Hero,2022,https://boxd.it/7O9LCv,3.5,,"netflix, comedy, dark, bollywood",2024-11-14
2024-11-23,Blackmail,2018,https://boxd.it/7S3uUr,3,,,2024-11-22
2024-11-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/7Sss3b,4,,"comedy, satire, borat, dark comedy",2024-11-23
2024-11-23,Borat Subsequent Moviefilm,2020,https://boxd.it/7SsE2f,3.5,,"prime video, comedy, dark, satire, slapstick",2024-11-23
2024-11-25,Lucy,2014,https://boxd.it/7Tb1I7,2.5,,"netflix, action",2024-11-24
2024-11-27,Kaalakaandi,2018,https://boxd.it/7UhSkX,2.5,,"hotstar, dark, comedy, mumbai",2024-11-26
2024-11-30,OMG: Oh My God!,2012,https://boxd.it/7VIlv7,3.5,,,2024-11-29
2024-12-08,Vicky Vidya Ka Woh Wala Video,2024,https://boxd.it/7ZEE7r,2,,"netflix, comedy, bollywood, funny, hindi",2024-12-07
2024-12-22,Mere Brother Ki Dulhan,2011,https://boxd.it/879cbb,2.5,,"comedy, romcom",2024-12-21
2024-12-23,The Namesake,2006,https://boxd.it/88kGvr,3.5,,,2024-12-23
2024-12-24,Porco Rosso,1992,https://boxd.it/88Y099,4,,"netflix, studioghibli",2024-12-24
2024-12-24,Yo Yo Honey Singh: Famous,2024,https://boxd.it/892RbZ,1.5,,,2024-12-24
2024-12-25,Bullet Train,2022,https://boxd.it/8996i9,3.5,,"netflix, bradpitt, bullettrain, action, adventure, funny, comedy",2024-12-24
2024-12-26,The Exorcist,1973,https://boxd.it/89NUdj,3.5,,,2024-12-25
2024-12-26,Midsommar,2019,https://boxd.it/89Tezz,4,,"a24, horror, psychological",2024-12-25
